"ISP (UTC)","Area","+Imbalance Price (EUR/MWh)","+Scarcity (EUR/MWh)","+Incentive (EUR/MWh)","+Financial Neutrality (EUR/MWh)","-Imbalance Price (EUR/MWh)","-Scarcity (EUR/MWh)","-Incentive (EUR/MWh)","-Financial Neutrality (EUR/MWh)","Status","Total Imbalance (MWh)","Total Imbalance - Difference (MWh)","Total Imbalance - Situation","Total Imbalance - Status"
"02/01/2024 11:00 - 02/01/2024 12:00","SCA|DK2","90.16"," "," "," ","90.16"," "," "," "," ","192.20"," ","Deficit","Final"
"02/01/2024 12:00 - 02/01/2024 13:00","SCA|DK2","90.87"," "," "," ","90.87"," "," "," "," ","330.10"," ","Deficit","Final"
"02/01/2024 13:00 - 02/01/2024 14:00","SCA|DK2","82.00"," "," "," ","82.00"," "," "," "," ","468.10"," ","Deficit","Final"
"02/01/2024 14:00 - 02/01/2024 15:00","SCA|DK2","88.00"," "," "," ","88.00"," "," "," "," ","424.00"," ","Deficit","Final"
"02/01/2024 15:00 - 02/01/2024 16:00","SCA|DK2","88.00"," "," "," ","88.00"," "," "," "," ","405.50"," ","Deficit","Final"
"02/01/2024 16:00 - 02/01/2024 17:00","SCA|DK2","88.08"," "," "," ","88.08"," "," "," "," ","416.30"," ","Deficit","Final"
"02/01/2024 17:00 - 02/01/2024 18:00","SCA|DK2","80.11"," "," "," ","80.11"," "," "," "," ","523.80"," ","Deficit","Final"
"02/01/2024 18:00 - 02/01/2024 19:00","SCA|DK2","63.18"," "," "," ","63.18"," "," "," "," ","267.00"," ","Deficit","Final"
"02/01/2024 19:00 - 02/01/2024 20:00","SCA|DK2","70.00"," "," "," ","70.00"," "," "," "," ","416.20"," ","Deficit","Final"
"02/01/2024 20:00 - 02/01/2024 21:00","SCA|DK2","70.00"," "," "," ","70.00"," "," "," "," ","69.60"," ","Deficit","Final"
"02/01/2024 21:00 - 02/01/2024 22:00","SCA|DK2","72.50"," "," "," ","72.50"," "," "," "," ","5.30"," ","Deficit","Final"
"02/01/2024 22:00 - 02/01/2024 23:00","SCA|DK2","69.00"," "," "," ","69.00"," "," "," "," ","12.90"," ","Deficit","Final"
"02/01/2024 23:00 - 03/01/2024 00:00","SCA|DK2","20.00"," "," "," ","20.00"," "," "," "," ","47.40"," ","Surplus","Final"
"03/01/2024 00:00 - 03/01/2024 01:00","SCA|DK2","54.00"," "," "," ","54.00"," "," "," "," ","120.40"," ","Surplus","Final"
"03/01/2024 01:00 - 03/01/2024 02:00","SCA|DK2","59.00"," "," "," ","59.00"," "," "," "," ","93.70"," ","Surplus","Final"
"03/01/2024 02:00 - 03/01/2024 03:00","SCA|DK2","59.00"," "," "," ","59.00"," "," "," "," ","6.00"," ","Deficit","Final"
"03/01/2024 03:00 - 03/01/2024 04:00","SCA|DK2","59.00"," "," "," ","59.00"," "," "," "," ","16.90"," ","Deficit","Final"
"03/01/2024 04:00 - 03/01/2024 05:00","SCA|DK2","59.00"," "," "," ","59.00"," "," "," "," ","37.10"," ","Surplus","Final"
"03/01/2024 05:00 - 03/01/2024 06:00","SCA|DK2","59.00"," "," "," ","59.00"," "," "," "," ","85.90"," ","Surplus","Final"
"03/01/2024 06:00 - 03/01/2024 07:00","SCA|DK2","74.00"," "," "," ","74.00"," "," "," "," ","220.10"," ","Surplus","Final"
"03/01/2024 07:00 - 03/01/2024 08:00","SCA|DK2","74.00"," "," "," ","74.00"," "," "," "," ","336.40"," ","Deficit","Final"
"03/01/2024 08:00 - 03/01/2024 09:00","SCA|DK2","74.00"," "," "," ","74.00"," "," "," "," ","185.20"," ","Deficit","Final"
"03/01/2024 09:00 - 03/01/2024 10:00","SCA|DK2","N/A"," "," "," ","N/A"," "," "," ","N/A","276.10"," ","Deficit","Final"
"03/01/2024 10:00 - 03/01/2024 11:00","SCA|DK2","74.00"," "," "," ","74.00"," "," "," "," ","332.30"," ","Deficit","Final"
"03/01/2024 11:00 - 03/01/2024 12:00","SCA|DK2","66.40"," "," "," ","66.40"," "," "," "," ","163.30"," ","Deficit","Final"
"03/01/2024 12:00 - 03/01/2024 13:00","SCA|DK2","71.00"," "," "," ","71.00"," "," "," "," ","235.00"," ","Deficit","Final"
"03/01/2024 13:00 - 03/01/2024 14:00","SCA|DK2","73.00"," "," "," ","73.00"," "," "," "," ","110.40"," ","Deficit","Final"
"03/01/2024 14:00 - 03/01/2024 15:00","SCA|DK2","78.00"," "," "," ","78.00"," "," "," "," ","236.00"," ","Deficit","Final"
"03/01/2024 15:00 - 03/01/2024 16:00","SCA|DK2","84.00"," "," "," ","84.00"," "," "," "," ","428.00"," ","Deficit","Final"
"03/01/2024 16:00 - 03/01/2024 17:00","SCA|DK2","91.00"," "," "," ","91.00"," "," "," "," ","397.30"," ","Deficit","Final"
"03/01/2024 17:00 - 03/01/2024 18:00","SCA|DK2","91.00"," "," "," ","91.00"," "," "," "," ","324.80"," ","Deficit","Final"
"03/01/2024 18:00 - 03/01/2024 19:00","SCA|DK2","91.00"," "," "," ","91.00"," "," "," "," ","601.90"," ","Deficit","Final"
"03/01/2024 19:00 - 03/01/2024 20:00","SCA|DK2","85.00"," "," "," ","85.00"," "," "," "," ","730.70"," ","Deficit","Final"
"03/01/2024 20:00 - 03/01/2024 21:00","SCA|DK2","67.41"," "," "," ","67.41"," "," "," "," ","626.70"," ","Deficit","Final"
"03/01/2024 21:00 - 03/01/2024 22:00","SCA|DK2","75.00"," "," "," ","75.00"," "," "," "," ","458.40"," ","Deficit","Final"
"03/01/2024 22:00 - 03/01/2024 23:00","SCA|DK2","73.78"," "," "," ","73.78"," "," "," "," ","578.10"," ","Deficit","Final"
"03/01/2024 23:00 - 04/01/2024 00:00","SCA|DK2","58.71"," "," "," ","58.71"," "," "," "," ","68.40"," ","Deficit","Final"
"04/01/2024 00:00 - 04/01/2024 01:00","SCA|DK2","53.60"," "," "," ","53.60"," "," "," "," ","38.20"," ","Surplus","Final"
"04/01/2024 01:00 - 04/01/2024 02:00","SCA|DK2","54.44"," "," "," ","54.44"," "," "," "," ","58.60"," ","Deficit","Final"
