"ISP (UTC)","Area","+Imbalance Price (EUR/MWh)","+Scarcity (EUR/MWh)","+Incentive (EUR/MWh)","+Financial Neutrality (EUR/MWh)","-Imbalance Price (EUR/MWh)","-Scarcity (EUR/MWh)","-Incentive (EUR/MWh)","-Financial Neutrality (EUR/MWh)","Status","Total Imbalance (MWh)","Total Imbalance - Difference (MWh)","Total Imbalance - Situation","Total Imbalance - Status"
"16/03/2024 00:00 - 16/03/2024 01:00","SCA|DK2","25.00"," "," "," ","25.00"," "," "," "," ","40.10"," ","Deficit","Final"
"16/03/2024 01:00 - 16/03/2024 02:00","SCA|DK2","25.00"," "," "," ","25.00"," "," "," "," ","54.60"," ","Deficit","Final"
"16/03/2024 02:00 - 16/03/2024 03:00","SCA|DK2","25.00"," "," "," ","25.00"," "," "," "," ","45.60"," ","Deficit","Final"
"16/03/2024 03:00 - 16/03/2024 04:00","SCA|DK2","20.00"," "," "," ","20.00"," "," "," "," ","3.20"," ","Deficit","Final"
"16/03/2024 04:00 - 16/03/2024 05:00","SCA|DK2","20.00"," "," "," ","20.00"," "," "," "," ","73.40"," ","Surplus","Final"
"16/03/2024 05:00 - 16/03/2024 06:00","SCA|DK2","9.00"," "," "," ","9.00"," "," "," "," ","71.40"," ","Surplus","Final"
"16/03/2024 06:00 - 16/03/2024 07:00","SCA|DK2","9.00"," "," "," ","9.00"," "," "," "," ","82.90"," ","Surplus","Final"
"16/03/2024 07:00 - 16/03/2024 08:00","SCA|DK2","1.00"," "," "," ","1.00"," "," "," "," ","81.10"," ","Surplus","Final"
"16/03/2024 08:00 - 16/03/2024 09:00","SCA|DK2","-5.50"," "," "," ","-5.50"," "," "," "," ","3.70"," ","Deficit","Final"
"16/03/2024 09:00 - 16/03/2024 10:00","SCA|DK2","8.00"," "," "," ","8.00"," "," "," "," ","30.80"," ","Deficit","Final"
"16/03/2024 10:00 - 16/03/2024 11:00","SCA|DK2","8.50"," "," "," ","8.50"," "," "," "," ","40.00"," ","Surplus","Final"
"16/03/2024 11:00 - 16/03/2024 12:00","SCA|DK2","-5.00"," "," "," ","-5.00"," "," "," "," ","233.90"," ","Surplus","Final"
"16/03/2024 12:00 - 16/03/2024 13:00","SCA|DK2","-7.00"," "," "," ","-7.00"," "," "," "," ","664.70"," ","Surplus","Final"
"16/03/2024 13:00 - 16/03/2024 14:00","SCA|DK2","-10.00"," "," "," ","-10.00"," "," "," "," ","908.00"," ","Surplus","Final"
"16/03/2024 14:00 - 16/03/2024 15:00","SCA|DK2","0.00"," "," "," ","0.00"," "," "," "," ","463.30"," ","Surplus","Final"
"16/03/2024 15:00 - 16/03/2024 16:00","SCA|DK2","50.00"," "," "," ","50.00"," "," "," "," ","148.30"," ","Surplus","Final"
"16/03/2024 16:00 - 16/03/2024 17:00","SCA|DK2","54.00"," "," "," ","54.00"," "," "," "," ","62.40"," ","Deficit","Final"
"16/03/2024 17:00 - 16/03/2024 18:00","SCA|DK2","55.00"," "," "," ","55.00"," "," "," "," ","192.20"," ","Deficit","Final"
"16/03/2024 18:00 - 16/03/2024 19:00","SCA|DK2","55.00"," "," "," ","55.00"," "," "," "," ","185.80"," ","Deficit","Final"
"16/03/2024 19:00 - 16/03/2024 20:00","SCA|DK2","54.00"," "," "," ","54.00"," "," "," "," ","107.10"," ","Deficit","Final"
"16/03/2024 20:00 - 16/03/2024 21:00","SCA|DK2","52.00"," "," "," ","52.00"," "," "," "," ","138.80"," ","Deficit","Final"
"16/03/2024 21:00 - 16/03/2024 22:00","SCA|DK2","25.37"," "," "," ","25.37"," "," "," "," ","113.10"," ","Deficit","Final"
"16/03/2024 22:00 - 16/03/2024 23:00","SCA|DK2","17.03"," "," "," ","17.03"," "," "," "," ","161.40"," ","Deficit","Final"
"16/03/2024 23:00 - 17/03/2024 00:00","SCA|DK2","12.00"," "," "," ","12.00"," "," "," "," ","91.60"," ","Surplus","Final"
"17/03/2024 00:00 - 17/03/2024 01:00","SCA|DK2","12.00"," "," "," ","12.00"," "," "," "," ","199.20"," ","Deficit","Final"
"17/03/2024 01:00 - 17/03/2024 02:00","SCA|DK2","65.45"," "," "," ","65.45"," "," "," "," ","146.00"," ","Deficit","Final"
"17/03/2024 02:00 - 17/03/2024 03:00","SCA|DK2","30.30"," "," "," ","30.30"," "," "," "," ","196.80"," ","Deficit","Final"
"17/03/2024 03:00 - 17/03/2024 04:00","SCA|DK2","33.06"," "," "," ","33.06"," "," "," "," ","51.40"," ","Deficit","Final"
"17/03/2024 04:00 - 17/03/2024 05:00","SCA|DK2","81.59"," "," "," ","81.59"," "," "," "," ","35.50"," ","Deficit","Final"
"17/03/2024 05:00 - 17/03/2024 06:00","SCA|DK2","34.76"," "," "," ","34.76"," "," "," "," ","46.30"," ","Deficit","Final"
"17/03/2024 06:00 - 17/03/2024 07:00","SCA|DK2","40.23"," "," "," ","40.23"," "," "," "," ","2.20"," ","Surplus","Final"
"17/03/2024 07:00 - 17/03/2024 08:00","SCA|DK2","50.58"," "," "," ","50.58"," "," "," "," ","65.00"," ","Deficit","Final"
"17/03/2024 08:00 - 17/03/2024 09:00","SCA|DK2","47.15"," "," "," ","47.15"," "," "," "," ","218.80"," ","Deficit","Final"
"17/03/2024 09:00 - 17/03/2024 10:00","SCA|DK2","36.50"," "," "," ","36.50"," "," "," "," ","92.00"," ","Deficit","Final"
"17/03/2024 10:00 - 17/03/2024 11:00","SCA|DK2","24.00"," "," "," ","24.00"," "," "," "," ","64.90"," ","Surplus","Final"
"17/03/2024 11:00 - 17/03/2024 12:00","SCA|DK2","24.00"," "," "," ","24.00"," "," "," "," ","49.00"," ","Deficit","Final"
"17/03/2024 12:00 - 17/03/2024 13:00","SCA|DK2","11.00"," "," "," ","11.00"," "," "," "," ","101.70"," ","Surplus","Final"
"17/03/2024 13:00 - 17/03/2024 14:00","SCA|DK2","11.00"," "," "," ","11.00"," "," "," "," ","30.50"," ","Deficit","Final"
"17/03/2024 14:00 - 17/03/2024 15:00","SCA|DK2","36.00"," "," "," ","36.00"," "," "," "," ","62.00"," ","Surplus","Final"
"17/03/2024 15:00 - 17/03/2024 16:00","SCA|DK2","128.69"," "," "," ","128.69"," "," "," "," ","85.40"," ","Deficit","Final"
"17/03/2024 16:00 - 17/03/2024 17:00","SCA|DK2","82.86"," "," "," ","82.86"," "," "," "," ","296.20"," ","Deficit","Final"
"17/03/2024 17:00 - 17/03/2024 18:00","SCA|DK2","94.31"," "," "," ","94.31"," "," "," "," ","298.90"," ","Deficit","Final"
"17/03/2024 18:00 - 17/03/2024 19:00","SCA|DK2","88.29"," "," "," ","88.29"," "," "," "," ","140.40"," ","Deficit","Final"
"17/03/2024 19:00 - 17/03/2024 20:00","SCA|DK2","75.08"," "," "," ","75.08"," "," "," "," ","209.90"," ","Deficit","Final"
"17/03/2024 20:00 - 17/03/2024 21:00","SCA|DK2","60.00"," "," "," ","60.00"," "," "," "," ","93.20"," ","Deficit","Final"
"17/03/2024 21:00 - 17/03/2024 22:00","SCA|DK2","63.00"," "," "," ","63.00"," "," "," "," ","48.10"," ","Surplus","Final"
"17/03/2024 22:00 - 17/03/2024 23:00","SCA|DK2","63.00"," "," "," ","63.00"," "," "," "," ","200.50"," ","Deficit","Final"
"17/03/2024 23:00 - 18/03/2024 00:00","SCA|DK2","61.00"," "," "," ","61.00"," "," "," "," ","21.80"," ","Deficit","Final"
"18/03/2024 00:00 - 18/03/2024 01:00","SCA|DK2","60.00"," "," "," ","60.00"," "," "," "," ","86.70"," ","Deficit","Final"
"18/03/2024 01:00 - 18/03/2024 02:00","SCA|DK2","55.82"," "," "," ","55.82"," "," "," "," ","122.60"," ","Deficit","Final"
"18/03/2024 02:00 - 18/03/2024 03:00","SCA|DK2","55.68"," "," "," ","55.68"," "," "," "," ","55.20"," ","Deficit","Final"
"18/03/2024 03:00 - 18/03/2024 04:00","SCA|DK2","55.86"," "," "," ","55.86"," "," "," "," ","67.80"," ","Deficit","Final"
"18/03/2024 04:00 - 18/03/2024 05:00","SCA|DK2","57.26"," "," "," ","57.26"," "," "," "," ","117.00"," ","Deficit","Final"
"18/03/2024 05:00 - 18/03/2024 06:00","SCA|DK2","84.25"," "," "," ","84.25"," "," "," "," ","84.40"," ","Deficit","Final"
"18/03/2024 06:00 - 18/03/2024 07:00","SCA|DK2","97.71"," "," "," ","97.71"," "," "," "," ","18.10"," ","Surplus","Final"
"18/03/2024 07:00 - 18/03/2024 08:00","SCA|DK2","94.16"," "," "," ","94.16"," "," "," "," ","11.70"," ","Deficit","Final"
"18/03/2024 08:00 - 18/03/2024 09:00","SCA|DK2","80.81"," "," "," ","80.81"," "," "," "," ","168.80"," ","Deficit","Final"
"18/03/2024 09:00 - 18/03/2024 10:00","SCA|DK2","72.02"," "," "," ","72.02"," "," "," "," ","387.80"," ","Deficit","Final"
"18/03/2024 10:00 - 18/03/2024 11:00","SCA|DK2","55.00"," "," "," ","55.00"," "," "," "," ","435.80"," ","Deficit","Final"
"18/03/2024 11:00 - 18/03/2024 12:00","SCA|DK2","55.00"," "," "," ","55.00"," "," "," "," ","345.70"," ","Deficit","Final"
"18/03/2024 12:00 - 18/03/2024 13:00","SCA|DK2","55.00"," "," "," ","55.00"," "," "," "," ","16.60"," ","Deficit","Final"
"18/03/2024 13:00 - 18/03/2024 14:00","SCA|DK2","54.00"," "," "," ","54.00"," "," "," "," ","0.40"," ","Deficit","Final"
"18/03/2024 14:00 - 18/03/2024 15:00","SCA|DK2","53.00"," "," "," ","53.00"," "," "," "," ","408.30"," ","Deficit","Final"
"18/03/2024 15:00 - 18/03/2024 16:00","SCA|DK2","77.08"," "," "," ","77.08"," "," "," "," ","186.80"," ","Deficit","Final"
"18/03/2024 16:00 - 18/03/2024 17:00","SCA|DK2","107.65"," "," "," ","107.65"," "," "," "," ","281.00"," ","Deficit","Final"
"18/03/2024 17:00 - 18/03/2024 18:00","SCA|DK2","142.51"," "," "," ","142.51"," "," "," "," ","272.10"," ","Deficit","Final"
"18/03/2024 18:00 - 18/03/2024 19:00","SCA|DK2","126.48"," "," "," ","126.48"," "," "," "," ","440.40"," ","Deficit","Final"
"18/03/2024 19:00 - 18/03/2024 20:00","SCA|DK2","55.00"," "," "," ","55.00"," "," "," "," ","485.00"," ","Deficit","Final"
"18/03/2024 20:00 - 18/03/2024 21:00","SCA|DK2","54.00"," "," "," ","54.00"," "," "," "," ","413.40"," ","Deficit","Final"
"18/03/2024 21:00 - 18/03/2024 22:00","SCA|DK2","54.00"," "," "," ","54.00"," "," "," "," ","350.70"," ","Deficit","Final"
"18/03/2024 22:00 - 18/03/2024 23:00","SCA|DK2","48.00"," "," "," ","48.00"," "," "," "," ","308.10"," ","Deficit","Final"
"18/03/2024 23:00 - 19/03/2024 00:00","SCA|DK2","48.00"," "," "," ","48.00"," "," "," "," ","126.00"," ","Deficit","Final"
"19/03/2024 00:00 - 19/03/2024 01:00","SCA|DK2","49.00"," "," "," ","49.00"," "," "," "," ","85.80"," ","Deficit","Final"
"19/03/2024 01:00 - 19/03/2024 02:00","SCA|DK2","48.50"," "," "," ","48.50"," "," "," "," ","134.60"," ","Deficit","Final"
"19/03/2024 02:00 - 19/03/2024 03:00","SCA|DK2","46.26"," "," "," ","46.26"," "," "," "," ","12.00"," ","Surplus","Final"
"19/03/2024 03:00 - 19/03/2024 04:00","SCA|DK2","90.00"," "," "," ","90.00"," "," "," "," ","118.00"," ","Surplus","Final"
"19/03/2024 04:00 - 19/03/2024 05:00","SCA|DK2","120.00"," "," "," ","120.00"," "," "," "," ","68.20"," ","Deficit","Final"
"19/03/2024 05:00 - 19/03/2024 06:00","SCA|DK2","50.50"," "," "," ","50.50"," "," "," "," ","270.50"," ","Deficit","Final"
"19/03/2024 06:00 - 19/03/2024 07:00","SCA|DK2","54.00"," "," "," ","54.00"," "," "," "," ","379.70"," ","Deficit","Final"
"19/03/2024 07:00 - 19/03/2024 08:00","SCA|DK2","55.50"," "," "," ","55.50"," "," "," "," ","451.20"," ","Deficit","Final"
"19/03/2024 08:00 - 19/03/2024 09:00","SCA|DK2","72.02"," "," "," ","72.02"," "," "," "," ","432.10"," ","Deficit","Final"
"19/03/2024 09:00 - 19/03/2024 10:00","SCA|DK2","64.15"," "," "," ","64.15"," "," "," "," ","202.10"," ","Deficit","Final"
"19/03/2024 10:00 - 19/03/2024 11:00","SCA|DK2","62.00"," "," "," ","62.00"," "," "," "," ","106.20"," ","Deficit","Final"
"19/03/2024 11:00 - 19/03/2024 12:00","SCA|DK2","57.00"," "," "," ","57.00"," "," "," "," ","368.10"," ","Deficit","Final"
"19/03/2024 12:00 - 19/03/2024 13:00","SCA|DK2","46.50"," "," "," ","46.50"," "," "," "," ","235.60"," ","Deficit","Final"
"19/03/2024 13:00 - 19/03/2024 14:00","SCA|DK2","65.50"," "," "," ","65.50"," "," "," "," ","74.30"," ","Surplus","Final"
"19/03/2024 14:00 - 19/03/2024 15:00","SCA|DK2","68.37"," "," "," ","68.37"," "," "," "," ","195.90"," ","Deficit","Final"
"19/03/2024 15:00 - 19/03/2024 16:00","SCA|DK2","71.93"," "," "," ","71.93"," "," "," "," ","330.70"," ","Deficit","Final"
"19/03/2024 16:00 - 19/03/2024 17:00","SCA|DK2","101.46"," "," "," ","101.46"," "," "," "," ","483.20"," ","Deficit","Final"
"19/03/2024 17:00 - 19/03/2024 18:00","SCA|DK2","128.27"," "," "," ","128.27"," "," "," "," ","167.50"," ","Deficit","Final"
"19/03/2024 18:00 - 19/03/2024 19:00","SCA|DK2","125.87"," "," "," ","125.87"," "," "," "," ","451.60"," ","Deficit","Final"
"19/03/2024 19:00 - 19/03/2024 20:00","SCA|DK2","107.36"," "," "," ","107.36"," "," "," "," ","109.30"," ","Deficit","Final"
"19/03/2024 20:00 - 19/03/2024 21:00","SCA|DK2","86.88"," "," "," ","86.88"," "," "," "," ","8.90"," ","Deficit","Final"
"19/03/2024 21:00 - 19/03/2024 22:00","SCA|DK2","81.50"," "," "," ","81.50"," "," "," "," ","134.30"," ","Deficit","Final"
"19/03/2024 22:00 - 19/03/2024 23:00","SCA|DK2","76.10"," "," "," ","76.10"," "," "," "," ","134.20"," ","Deficit","Final"
"19/03/2024 23:00 - 20/03/2024 00:00","SCA|DK2","76.01"," "," "," ","76.01"," "," "," "," ","4.80"," ","Surplus","Final"
"20/03/2024 00:00 - 20/03/2024 01:00","SCA|DK2","73.40"," "," "," ","73.40"," "," "," "," ","44.90"," ","Deficit","Final"
"20/03/2024 01:00 - 20/03/2024 02:00","SCA|DK2","74.90"," "," "," ","74.90"," "," "," "," ","85.20"," ","Deficit","Final"
"20/03/2024 02:00 - 20/03/2024 03:00","SCA|DK2","75.70"," "," "," ","75.70"," "," "," "," ","279.10"," ","Deficit","Final"
"20/03/2024 03:00 - 20/03/2024 04:00","SCA|DK2","76.36"," "," "," ","76.36"," "," "," "," ","223.30"," ","Deficit","Final"
"20/03/2024 04:00 - 20/03/2024 05:00","SCA|DK2","80.90"," "," "," ","80.90"," "," "," "," ","260.40"," ","Deficit","Final"
"20/03/2024 05:00 - 20/03/2024 06:00","SCA|DK2","53.50"," "," "," ","53.50"," "," "," "," ","152.40"," ","Deficit","Final"
"20/03/2024 06:00 - 20/03/2024 07:00","SCA|DK2","57.00"," "," "," ","57.00"," "," "," "," ","196.50"," ","Deficit","Final"
"20/03/2024 07:00 - 20/03/2024 08:00","SCA|DK2","98.33"," "," "," ","98.33"," "," "," "," ","167.20"," ","Deficit","Final"
"20/03/2024 08:00 - 20/03/2024 09:00","SCA|DK2","70.63"," "," "," ","70.63"," "," "," "," ","118.40"," ","Deficit","Final"
"20/03/2024 09:00 - 20/03/2024 10:00","SCA|DK2","83.09"," "," "," ","83.09"," "," "," "," ","27.70"," ","Deficit","Final"
"20/03/2024 10:00 - 20/03/2024 11:00","SCA|DK2","84.40"," "," "," ","84.40"," "," "," "," ","165.00"," ","Deficit","Final"
"20/03/2024 11:00 - 20/03/2024 12:00","SCA|DK2","62.50"," "," "," ","62.50"," "," "," "," ","294.20"," ","Deficit","Final"
"20/03/2024 12:00 - 20/03/2024 13:00","SCA|DK2","65.00"," "," "," ","65.00"," "," "," "," ","16.30"," ","Deficit","Final"
"20/03/2024 13:00 - 20/03/2024 14:00","SCA|DK2","55.00"," "," "," ","55.00"," "," "," "," ","572.70"," ","Deficit","Final"
"20/03/2024 14:00 - 20/03/2024 15:00","SCA|DK2","55.00"," "," "," ","55.00"," "," "," "," ","848.80"," ","Deficit","Final"
"20/03/2024 15:00 - 20/03/2024 16:00","SCA|DK2","87.07"," "," "," ","87.07"," "," "," "," ","378.90"," ","Deficit","Final"
"20/03/2024 16:00 - 20/03/2024 17:00","SCA|DK2","119.68"," "," "," ","119.68"," "," "," "," ","106.20"," ","Deficit","Final"
"20/03/2024 17:00 - 20/03/2024 18:00","SCA|DK2","168.54"," "," "," ","168.54"," "," "," "," ","55.80"," ","Deficit","Final"
"20/03/2024 18:00 - 20/03/2024 19:00","SCA|DK2","159.05"," "," "," ","159.05"," "," "," "," ","123.10"," ","Deficit","Final"
"20/03/2024 19:00 - 20/03/2024 20:00","SCA|DK2","N/A"," "," "," ","N/A"," "," "," ","N/A","427.90"," ","Deficit","Final"
"20/03/2024 20:00 - 20/03/2024 21:00","SCA|DK2","106.52"," "," "," ","106.52"," "," "," "," ","614.00"," ","Deficit","Final"
"20/03/2024 21:00 - 20/03/2024 22:00","SCA|DK2","96.07"," "," "," ","96.07"," "," "," "," ","571.60"," ","Deficit","Final"
"20/03/2024 22:00 - 20/03/2024 23:00","SCA|DK2","79.98"," "," "," ","79.98"," "," "," "," ","607.90"," ","Deficit","Final"
"20/03/2024 23:00 - 21/03/2024 00:00","SCA|DK2","76.18"," "," "," ","76.18"," "," "," "," ","411.90"," ","Deficit","Final"
"21/03/2024 00:00 - 21/03/2024 01:00","SCA|DK2","73.37"," "," "," ","73.37"," "," "," "," ","445.40"," ","Deficit","Final"
"21/03/2024 01:00 - 21/03/2024 02:00","SCA|DK2","71.55"," "," "," ","71.55"," "," "," "," ","450.40"," ","Deficit","Final"
"21/03/2024 02:00 - 21/03/2024 03:00","SCA|DK2","52.00"," "," "," ","52.00"," "," "," "," ","656.00"," ","Deficit","Final"
"21/03/2024 03:00 - 21/03/2024 04:00","SCA|DK2","52.00"," "," "," ","52.00"," "," "," "," ","372.00"," ","Deficit","Final"
"21/03/2024 04:00 - 21/03/2024 05:00","SCA|DK2","54.00"," "," "," ","54.00"," "," "," "," ","170.70"," ","Deficit","Final"
"21/03/2024 05:00 - 21/03/2024 06:00","SCA|DK2","87.11"," "," "," ","87.11"," "," "," "," ","157.10"," ","Surplus","Final"
"21/03/2024 06:00 - 21/03/2024 07:00","SCA|DK2","98.21"," "," "," ","98.21"," "," "," "," ","186.90"," ","Surplus","Final"
"21/03/2024 07:00 - 21/03/2024 08:00","SCA|DK2","102.29"," "," "," ","102.29"," "," "," "," ","369.70"," ","Surplus","Final"
"21/03/2024 08:00 - 21/03/2024 09:00","SCA|DK2","80.00"," "," "," ","80.00"," "," "," "," ","22.80"," ","Surplus","Final"
"21/03/2024 09:00 - 21/03/2024 10:00","SCA|DK2","72.41"," "," "," ","72.41"," "," "," "," ","244.80"," ","Deficit","Final"
"21/03/2024 10:00 - 21/03/2024 11:00","SCA|DK2","68.03"," "," "," ","68.03"," "," "," "," ","107.30"," ","Deficit","Final"
"21/03/2024 11:00 - 21/03/2024 12:00","SCA|DK2","133.43"," "," "," ","133.43"," "," "," "," ","47.20"," ","Deficit","Final"
"21/03/2024 12:00 - 21/03/2024 13:00","SCA|DK2","63.00"," "," "," ","63.00"," "," "," "," ","334.10"," ","Deficit","Final"
"21/03/2024 13:00 - 21/03/2024 14:00","SCA|DK2","67.50"," "," "," ","67.50"," "," "," "," ","172.10"," ","Deficit","Final"
"21/03/2024 14:00 - 21/03/2024 15:00","SCA|DK2","67.50"," "," "," ","67.50"," "," "," "," ","340.00"," ","Deficit","Final"
"21/03/2024 15:00 - 21/03/2024 16:00","SCA|DK2","75.27"," "," "," ","75.27"," "," "," "," ","255.70"," ","Deficit","Final"
"21/03/2024 16:00 - 21/03/2024 17:00","SCA|DK2","57.00"," "," "," ","57.00"," "," "," "," ","614.30"," ","Deficit","Final"
"21/03/2024 17:00 - 21/03/2024 18:00","SCA|DK2","56.50"," "," "," ","56.50"," "," "," "," ","396.30"," ","Deficit","Final"
"21/03/2024 18:00 - 21/03/2024 19:00","SCA|DK2","55.50"," "," "," ","55.50"," "," "," "," ","535.50"," ","Deficit","Final"
"21/03/2024 19:00 - 21/03/2024 20:00","SCA|DK2","55.50"," "," "," ","55.50"," "," "," "," ","341.80"," ","Deficit","Final"
"21/03/2024 20:00 - 21/03/2024 21:00","SCA|DK2","57.50"," "," "," ","57.50"," "," "," "," ","283.40"," ","Deficit","Final"
"21/03/2024 21:00 - 21/03/2024 22:00","SCA|DK2","75.62"," "," "," ","75.62"," "," "," "," ","660.50"," ","Deficit","Final"
"21/03/2024 22:00 - 21/03/2024 23:00","SCA|DK2","49.50"," "," "," ","49.50"," "," "," "," ","836.60"," ","Deficit","Final"
"21/03/2024 23:00 - 22/03/2024 00:00","SCA|DK2","57.50"," "," "," ","57.50"," "," "," "," ","113.50"," ","Surplus","Final"
"22/03/2024 00:00 - 22/03/2024 01:00","SCA|DK2","55.00"," "," "," ","55.00"," "," "," "," ","257.80"," ","Surplus","Final"
"22/03/2024 01:00 - 22/03/2024 02:00","SCA|DK2","52.00"," "," "," ","52.00"," "," "," "," ","121.70"," ","Deficit","Final"
"22/03/2024 02:00 - 22/03/2024 03:00","SCA|DK2","28.92"," "," "," ","28.92"," "," "," "," ","325.50"," ","Deficit","Final"
"22/03/2024 03:00 - 22/03/2024 04:00","SCA|DK2","31.92"," "," "," ","31.92"," "," "," "," ","175.50"," ","Deficit","Final"
"22/03/2024 04:00 - 22/03/2024 05:00","SCA|DK2","36.94"," "," "," ","36.94"," "," "," "," ","188.80"," ","Deficit","Final"
"22/03/2024 05:00 - 22/03/2024 06:00","SCA|DK2","42.32"," "," "," ","42.32"," "," "," "," ","251.70"," ","Deficit","Final"
"22/03/2024 06:00 - 22/03/2024 07:00","SCA|DK2","60.00"," "," "," ","60.00"," "," "," "," ","387.90"," ","Deficit","Final"
"22/03/2024 07:00 - 22/03/2024 08:00","SCA|DK2","51.73"," "," "," ","51.73"," "," "," "," ","454.90"," ","Deficit","Final"
"22/03/2024 08:00 - 22/03/2024 09:00","SCA|DK2","46.00"," "," "," ","46.00"," "," "," "," ","208.00"," ","Deficit","Final"
"22/03/2024 09:00 - 22/03/2024 10:00","SCA|DK2","46.00"," "," "," ","46.00"," "," "," "," ","20.10"," ","Deficit","Final"
"22/03/2024 10:00 - 22/03/2024 11:00","SCA|DK2","42.00"," "," "," ","42.00"," "," "," "," ","51.20"," ","Surplus","Final"
"22/03/2024 11:00 - 22/03/2024 12:00","SCA|DK2","55.00"," "," "," ","55.00"," "," "," "," ","110.80"," ","Surplus","Final"
"22/03/2024 12:00 - 22/03/2024 13:00","SCA|DK2","60.00"," "," "," ","60.00"," "," "," "," ","206.90"," ","Surplus","Final"
"22/03/2024 13:00 - 22/03/2024 14:00","SCA|DK2","46.00"," "," "," ","46.00"," "," "," "," ","115.30"," ","Surplus","Final"
"22/03/2024 14:00 - 22/03/2024 15:00","SCA|DK2","46.00"," "," "," ","46.00"," "," "," "," ","79.10"," ","Deficit","Final"
"22/03/2024 15:00 - 22/03/2024 16:00","SCA|DK2","44.00"," "," "," ","44.00"," "," "," "," ","532.90"," ","Deficit","Final"
"22/03/2024 16:00 - 22/03/2024 17:00","SCA|DK2","45.00"," "," "," ","45.00"," "," "," "," ","543.20"," ","Deficit","Final"
"22/03/2024 17:00 - 22/03/2024 18:00","SCA|DK2","64.51"," "," "," ","64.51"," "," "," "," ","157.00"," ","Deficit","Final"
"22/03/2024 18:00 - 22/03/2024 19:00","SCA|DK2","64.50"," "," "," ","64.50"," "," "," "," ","10.00"," ","Surplus","Final"
"22/03/2024 19:00 - 22/03/2024 20:00","SCA|DK2","61.09"," "," "," ","61.09"," "," "," "," ","16.00"," ","Deficit","Final"
"22/03/2024 20:00 - 22/03/2024 21:00","SCA|DK2","50.00"," "," "," ","50.00"," "," "," "," ","179.50"," ","Deficit","Final"
"22/03/2024 21:00 - 22/03/2024 22:00","SCA|DK2","60.12"," "," "," ","60.12"," "," "," "," ","165.50"," ","Deficit","Final"
"22/03/2024 22:00 - 22/03/2024 23:00","SCA|DK2","54.51"," "," "," ","54.51"," "," "," "," ","68.60"," ","Deficit","Final"
"22/03/2024 23:00 - 23/03/2024 00:00","SCA|DK2","60.00"," "," "," ","60.00"," "," "," "," ","36.80"," ","Deficit","Final"
"23/03/2024 00:00 - 23/03/2024 01:00","SCA|DK2","60.00"," "," "," ","60.00"," "," "," "," ","53.60"," ","Deficit","Final"
"23/03/2024 01:00 - 23/03/2024 02:00","SCA|DK2","60.00"," "," "," ","60.00"," "," "," "," ","111.00"," ","Deficit","Final"
"23/03/2024 02:00 - 23/03/2024 03:00","SCA|DK2","55.00"," "," "," ","55.00"," "," "," "," ","62.50"," ","Deficit","Final"
"23/03/2024 03:00 - 23/03/2024 04:00","SCA|DK2","50.44"," "," "," ","50.44"," "," "," "," ","210.00"," ","Deficit","Final"
"23/03/2024 04:00 - 23/03/2024 05:00","SCA|DK2","48.82"," "," "," ","48.82"," "," "," "," ","74.90"," ","Deficit","Final"
"23/03/2024 05:00 - 23/03/2024 06:00","SCA|DK2","47.87"," "," "," ","47.87"," "," "," "," ","1.10"," ","Surplus","Final"
"23/03/2024 06:00 - 23/03/2024 07:00","SCA|DK2","52.00"," "," "," ","52.00"," "," "," "," ","199.30"," ","Surplus","Final"
"23/03/2024 07:00 - 23/03/2024 08:00","SCA|DK2","42.00"," "," "," ","42.00"," "," "," "," ","76.60"," ","Surplus","Final"
"23/03/2024 08:00 - 23/03/2024 09:00","SCA|DK2","23.93"," "," "," ","23.93"," "," "," "," ","121.00"," ","Surplus","Final"
"23/03/2024 09:00 - 23/03/2024 10:00","SCA|DK2","20.00"," "," "," ","20.00"," "," "," "," ","306.70"," ","Surplus","Final"
"23/03/2024 10:00 - 23/03/2024 11:00","SCA|DK2","1.53"," "," "," ","1.53"," "," "," "," ","183.40"," ","Deficit","Final"
"23/03/2024 11:00 - 23/03/2024 12:00","SCA|DK2","0.71"," "," "," ","0.71"," "," "," "," ","0.20"," ","Surplus","Final"
"23/03/2024 12:00 - 23/03/2024 13:00","SCA|DK2","0.01"," "," "," ","0.01"," "," "," "," ","29.40"," ","Surplus","Final"
"23/03/2024 13:00 - 23/03/2024 14:00","SCA|DK2","0.01"," "," "," ","0.01"," "," "," "," ","25.50"," ","Surplus","Final"
"23/03/2024 14:00 - 23/03/2024 15:00","SCA|DK2","2.02"," "," "," ","2.02"," "," "," "," ","195.30"," ","Surplus","Final"
"23/03/2024 15:00 - 23/03/2024 16:00","SCA|DK2","42.00"," "," "," ","42.00"," "," "," "," ","250.60"," ","Surplus","Final"
"23/03/2024 16:00 - 23/03/2024 17:00","SCA|DK2","52.00"," "," "," ","52.00"," "," "," "," ","261.70"," ","Surplus","Final"
"23/03/2024 17:00 - 23/03/2024 18:00","SCA|DK2","65.00"," "," "," ","65.00"," "," "," "," ","177.20"," ","Surplus","Final"
"23/03/2024 18:00 - 23/03/2024 19:00","SCA|DK2","67.50"," "," "," ","67.50"," "," "," "," ","42.40"," ","Deficit","Final"
"23/03/2024 19:00 - 23/03/2024 20:00","SCA|DK2","65.00"," "," "," ","65.00"," "," "," "," ","0.50"," ","Deficit","Final"
